Time,Channel A,Channel B
(s),(V),(V)

-5.00020027,0.04394665,3.15744500
-5.00010027,0.04394665,3.15744500
-5.00000027,0.04394665,3.15744500
-4.99990027,-0.04608295,3.15744500
-4.99980027,0.04394665,3.15744500
-4.99970027,0.04394665,3.15744500
-4.99960027,-0.04608295,3.15744500
-4.99950027,-0.04608295,3.15744500
-4.99940027,-0.04608295,3.15744500
-4.99930027,0.04394665,3.15744500
-4.99920027,0.04394665,3.15744500
-4.99910027,-0.04608295,3.15744500
-4.99900027,-0.04608295,3.15744500
-4.99890027,-0.04608295,3.15744500
-4.99880027,-0.04608295,3.15744500
-4.99870027,-0.04608295,3.15744500
-4.99860027,-0.04608295,3.15744500
-4.99850027,-0.04608295,3.15744500
-4.99840027,-0.04608295,3.15744500
-4.99830027,-0.04608295,3.15744500
-4.99820027,0.04394665,3.15744500
-4.99810027,-0.04608295,3.15744500
-4.99800027,-0.04608295,3.15744500
-4.99790027,0.04394665,3.15744500
-4.99780027,0.04394665,3.15744500
-4.99770027,-0.04608295,3.15744500
-4.99760027,0.04394665,3.15744500
-4.99750027,-0.04608295,3.15744500
-4.99740027,0.04394665,3.15744500
-4.99730027,0.04394665,3.15744500
-4.99720027,0.04394665,3.15744500
-4.99710027,0.04394665,3.15744500
-4.99700027,0.04394665,3.15744500
-4.99690027,-0.04608295,3.15744500
-4.99680027,0.04394665,3.15744500
-4.99670027,0.04394665,3.15744500
-4.99660027,-0.04608295,3.15744500
-4.99650027,-0.04608295,3.15744500
-4.99640027,-0.04608295,3.15744500
-4.99630027,-0.04608295,3.15744500
-4.99620027,-0.04608295,3.15744500
-4.99610027,-0.04608295,3.15744500
-4.99600027,-0.04608295,3.15744500
-4.99590027,-0.04608295,3.15744500
-4.99580027,-0.04608295,3.15744500
-4.99570027,-0.04608295,3.15744500
-4.99560027,0.04394665,3.15744500
-4.99550027,-0.04608295,3.15744500
-4.99540027,-0.04608295,3.15744500
-4.99530027,-0.04608295,3.15744500
-4.99520027,0.04394665,3.15744500
-4.99510027,-0.04608295,3.15744500
-4.99500027,0.04394665,3.15744500
-4.99490027,-0.04608295,3.15744500
-4.99480027,-0.04608295,3.15744500
-4.99470027,-0.04608295,3.15744500
-4.99460027,-0.04608295,3.15744500
-4.99450027,-0.04608295,3.15744500
-4.99440027,-0.04608295,3.15744500
-4.99430027,-0.04608295,3.15744500
-4.99420027,0.04394665,3.15744500
-4.99410027,-0.04608295,3.15744500
-4.99400027,-0.04608295,3.15744500
-4.99390027,-0.04608295,3.15744500
-4.99380027,-0.04608295,3.15744500
-4.99370027,-0.04608295,3.15744500
-4.99360027,0.04394665,3.15744500
-4.99350027,-0.04608295,3.15744500
-4.99340027,0.04394665,3.15744500
-4.99330027,-0.04608295,3.15744500
-4.99320027,-0.04608295,3.15744500
-4.99310027,-0.04608295,3.15744500
-4.99300027,-0.04608295,3.15744500
-4.99290027,0.04394665,3.15744500
-4.99280027,-0.04608295,3.15744500
-4.99270027,-0.04608295,3.15744500
-4.99260027,-0.04608295,3.15744500
-4.99250027,-0.04608295,3.15744500
-4.99240027,-0.04608295,3.15744500
